Task B3: Get All Temperature Readings between 17.0 and 19.0
Temperature, Year, Month_Avg, Country, Country_Code
17.0(C) 62.6(F),2012,Jul,Austria,AUT
17.0(C) 62.6(F),2000,Jun,Luxembourg,LUX
17.0(C) 62.6(F),2005,Sep,Hungary,HUN
17.0(C) 62.6(F),2001,May,Korea. Republic of,KOR
17.0(C) 62.6(F),2005,Sep,Croatia,HRV
17.0(C) 62.6(F),2014,Apr,Malta,MLT
17.0(C) 62.61(F),2008,Jul,Zimbabwe,ZWE
17.01(C) 62.61(F),2005,Oct,Portugal,PRT
17.01(C) 62.62(F),2008,Jun,Korea. Democratic People's Republic of,PRK
17.01(C) 62.62(F),2001,Jun,Mongolia,MNG
17.01(C) 62.62(F),2009,Aug,Lithuania,LTU
17.01(C) 62.62(F),2002,Apr,Malta,MLT
17.01(C) 62.63(F),2006,Jun,Germany,DEU
17.02(C) 62.63(F),2005,Sep,France,FRA
17.02(C) 62.63(F),2013,Nov,Iraq,IRQ
17.02(C) 62.63(F),2004,Nov,Malta,MLT
17.02(C) 62.63(F),2001,Sep,Armenia,ARM
17.02(C) 62.64(F),2008,Sep,Italy,ITA
17.02(C) 62.64(F),2012,Sep,Republic of Montenegro,MNE
17.02(C) 62.64(F),2001,Aug,Mongolia,MNG
17.03(C) 62.65(F),2011,Jun,Estonia,EST
17.03(C) 62.65(F),2000,Mar,Argentina,ARG
17.03(C) 62.66(F),2006,Sep,Moldova,MDA
17.03(C) 62.66(F),2002,May,Nepal,NPL
17.03(C) 62.66(F),2016,Jun,France,FRA
17.03(C) 62.66(F),2005,Sep,Andorra,AND
17.04(C) 62.67(F),2007,May,Turkey,TUR
17.04(C) 62.67(F),2005,Jul,Kyrgyzstan,KGZ
17.04(C) 62.67(F),2000,Jun,Germany,DEU
17.04(C) 62.68(F),2000,Jun,Zimbabwe,ZWE
17.04(C) 62.68(F),2013,Aug,Botswana,BWA
17.05(C) 62.68(F),2008,Dec,Saudi Arabia,SAU
17.05(C) 62.69(F),2016,Nov,Cyprus,CYP
17.05(C) 62.69(F),2000,Nov,Israel,ISR
17.05(C) 62.69(F),2005,Jul,Zimbabwe,ZWE
17.05(C) 62.69(F),2012,Aug,Kyrgyzstan,KGZ
17.05(C) 62.7(F),2008,Jul,Estonia,EST
17.06(C) 62.7(F),2010,Sep,Italy,ITA
