Task C1: Get Top Ten Greatest Temperature Differences for the Month of Jul Between 2006 and 2008
Temperature Delta, Year Delta, Month, Country, Country_Code
2.98(C) 5.36(F),2,Jul,Austria,AUT
3.18(C) 5.72(F),2,Jul,Monaco,MCO
3.25(C) 5.85(F),2,Jul,Andorra,AND
3.28(C) 5.9(F),2,Jul,Germany,DEU
3.33(C) 5.99(F),2,Jul,Netherlands,NLD
3.44(C) 6.19(F),2,Jul,Belgium,BEL
3.5(C) 6.3(F),2,Jul,France,FRA
3.7(C) 6.66(F),2,Jul,Liechtenstein,LIE
3.76(C) 6.76(F),2,Jul,Switzerland,CHE
3.9(C) 7.02(F),2,Jul,Luxembourg,LUX
